# externalEventId;title;startAt;endAt;city;locationName;address;eventType;attendanceMode;organizer;sourceName;sourceUrl;tags;description;active
manual-2026-cloud-ai-night;Cloud AI Night Java Meetup;2026-07-02T18:30:00+02:00;2026-07-02T20:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/cloud-ai-night-java-meetup-2026;java,cloud,ai,meetup;Another manual test event for checking live notifications next week.;true
manual-2026-whatsapp-public-link-check;WhatsApp Public Link Check Java And Python Meetup;2026-07-05T18:00:00+02:00;2026-07-05T19:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/whatsapp-public-link-check-java-meetup-2026;java,ai,meetup;Live manual test event for verifying clickable public HTTPS WhatsApp links.;true
manual-2026-devops-breakfast;DevOps Breakfast Meetup;2026-07-03T09:00:00+02:00;2026-07-03T10:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/devops-breakfast-meetup-2026;devops,cloud,java,meetup;Manual test event created to verify next-week event notifications.;true
manual-2026-reactive-systems-evening;Reactive Systems Evening Meetup;2026-07-01T18:00:00+02:00;2026-07-01T19:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/reactive-systems-evening-meetup-2026;java,quarkus,reactive,meetup;Manual next-week test event added to verify notification handling.;true
manual-2026-data-sience;data sience Workshop Meetup;2026-07-05T17:00:00+02:00;2026-07-05T18:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/data-sience-workshop-meetup-2026;data-sience,python,meetup;Manual data focused event added to verify next-week notification handling.;true
manual-2026-ai-agents-workshop;AI Agents Workshop Meetup;2026-07-05T17:00:00+02:00;2026-07-05T18:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/ai-agents-workshop-meetup-2026;ai,agents,java,meetup;Manual AI-focused test event added to verify next-week notification handling.;true
manual-2026-python-automation-lab;Python Automation Lab Meetup;2026-07-04T16:00:00+02:00;2026-07-04T17:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/python-automation-lab-meetup-2026;python,automation,meetup;Manual Python-focused event added to verify next-week notification handling.;true
manual-2026-sql-query-optimization;SQL Query Optimization Workshop;2026-07-03T17:30:00+02:00;2026-07-03T19:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/sql-query-optimization-workshop-2026;sql,database,postgresql,meetup;Manual SQL-focused event added to verify next-week notification handling.;true
manual-2026-ai-productivity-night;AI Productivity Night Meetup;2026-07-02T18:00:00+02:00;2026-07-02T19:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/ai-productivity-night-meetup-2026;ai,productivity,meetup;Manual AI-focused event added to verify next-week notification handling.;true
manual-2026-ai-agents-workshop;AI Agents Workshop;2026-07-09T17:30:00+02:00;2026-07-09T19:00:00+02:00;Wuerzburg;Online;Online;WORKSHOP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/ai-agents-workshop-2026;ai,agents,workshop;Hands-on AI workshop about building practical agent workflows and automation for everyday productivity.;true
manual-2026-python-data-meetup;Python Data Meetup;2026-07-02T18:00:00+02:00;2026-07-02T19:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/python-data-meetup-2026;python,data,meetup;Manual Python meetup in Wuerzburg added to verify next-week notification handling.;true
manual-2026-java-backend-meetup;Java Backend Meetup;2026-07-03T17:30:00+02:00;2026-07-03T19:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/java-backend-meetup-2026;java,backend,meetup;Manual Java meetup in Wuerzburg added to verify next-week notification handling.;true
manual-2026-python-scripting-evening;Python Scripting Evening Meetup;2026-07-04T18:00:00+02:00;2026-07-04T19:30:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/python-scripting-evening-meetup-2026;python,scripting,meetup;Manual Python scripting meetup in Wuerzburg added for next-week notification testing.;true
manual-2026-java-microservices-night;Java Microservices Night Meetup;2026-07-05T17:30:00+02:00;2026-07-05T19:00:00+02:00;Wuerzburg;Online;Online;MEETUP;ONLINE;MainFrankenIT;Manual Events;https://mainfrankenit.example/events/java-microservices-night-meetup-2026;java,microservices,meetup;Manual Java microservices meetup in Wuerzburg added for next-week notification testing.;true
